protein_id	protein_name	copy_number
BHFGHA_05725	long-chain fatty acid transporter FadL	1
BHFGHA_05730	phospholipid-binding lipoprotein MlaA	1
BHFGHA_05735	Inner membrane protein YfdC	1
BHFGHA_05745	Sucrose permease	1
BHFGHA_05750	aminoimidazole riboside kinase	1
BHFGHA_05755	sucrose-6-phosphate hydrolase	1
BHFGHA_05760	DNA-binding transcriptional regulator, LacI/PurR family	1
BHFGHA_05765	D-serine transporter DsdX	1
BHFGHA_05770	D-serine ammonia-lyase	1
BHFGHA_05775	multidrug efflux MFS transporter permease subunit EmrY	1
BHFGHA_05780	multidrug efflux MFS transporter periplasmic adaptor subunit EmrK	1
BHFGHA_05785	Protein EvgL	1
BHFGHA_05790	acid-sensing system DNA-binding response regulator EvgA	1
BHFGHA_05795	acid-sensing system histidine kinase EvgS	1
BHFGHA_05800	CoA:oxalate CoA-transferase	1
BHFGHA_05805	transporter YfdV	1
BHFGHA_05810	oxalyl-CoA decarboxylase	1
BHFGHA_05815	formyl-CoA transferase	1
BHFGHA_05820	Protein YfdX	1
BHFGHA_05825	Lipoprotein	1
BHFGHA_05830	DUF2545 domain-containing protein	1
BHFGHA_05835	kdo(2)-lipid IV(A) palmitoleoyltransferase	1
BHFGHA_05840	membrane protein YpdK	1
BHFGHA_05845	alanine transaminase	1
BHFGHA_05850	two-component system sensor histidine kinase YpdA	1
BHFGHA_05855	two-component system response regulator YpdB	1
BHFGHA_05860	Uncharacterized HTH-type transcriptional regulator YpdC	1
BHFGHA_05865	aminopeptidase	1
BHFGHA_05870	aminopeptidase	1
BHFGHA_05875	aminopeptidase	1
BHFGHA_05880	Fructose-like permease IIC component	1
BHFGHA_05885	PTS system fructose-like EIIB component 1	1
BHFGHA_05890	glucokinase	1
BHFGHA_05895	ion channel protein	1
BHFGHA_05900	Uncharacterized protein YpeC	1
BHFGHA_05905	Mn(2+) uptake NRAMP transporter MntH	1
BHFGHA_05910	nucleoside permease NupC	1
BHFGHA_05915	putative cyclic di-GMP phosphodiesterase PdeA	1
BHFGHA_05930	Uncharacterized protein YfeC	1
BHFGHA_05935	Uncharacterized protein YfeD	1
BHFGHA_05940	glutamate--tRNA ligase	1
BHFGHA_05965	DNA-binding transcriptional regulator XapR	1
BHFGHA_05970	xanthosine/proton symporter XapB	1
BHFGHA_05975	xanthosine phosphorylase	1
BHFGHA_05980	Uncharacterized protein YfeN	1
BHFGHA_05985	Uncharacterized HTH-type transcriptional regulator YfeR	1
BHFGHA_05990	Putative symporter YfeH	1
BHFGHA_05995	Uncharacterized protein YpeB	1
BHFGHA_06000	NAD-dependent DNA ligase LigA	1
BHFGHA_06005	cell division protein ZipA	1
BHFGHA_06010	sulfate transporter CysZ	1
BHFGHA_06015	cysteine synthase A	1
BHFGHA_06020	phosphocarrier protein Hpr	1
BHFGHA_06025	phosphoenolpyruvate-protein phosphotransferase PtsI	1
BHFGHA_06030	PTS glucose transporter subunit IIA	1
BHFGHA_06035	pyridoxine/pyridoxal/pyridoxamine kinase	1
BHFGHA_06040	Uncharacterized protein YfeK	1
BHFGHA_06045	cysteine synthase B	1
BHFGHA_06050	sulfate/thiosulfate ABC transporter ATP-binding protein CysA	1
BHFGHA_06055	sulfate/thiosulfate ABC transporter permease CysW	1
BHFGHA_06060	sulfate/thiosulfate ABC transporter permease CysT	1
BHFGHA_06065	thiosulfate/sulfate ABC transporter substrate-binding protein CysP	1
BHFGHA_06070	SDR family oxidoreductase UcpA	1
BHFGHA_06075	N-acetylmuramic acid 6-phosphate etherase	1
BHFGHA_06080	PTS N-acetylmuramic acid transporter subunit IIBC	1
BHFGHA_06085	porphyrinogen peroxidase	1
BHFGHA_06090	RpoE-regulated lipoprotein	1
BHFGHA_06095	Inner membrane protein YfeZ	1
BHFGHA_06100	GNAT family acetyltransferase	1
BHFGHA_06105	N-acetylmuramoyl-L-alanine amidase AmiA	1
BHFGHA_06110	oxygen-dependent coproporphyrinogen oxidase	1
BHFGHA_06115	HTH-type transcriptional regulator EutR	1
BHFGHA_06120	ethanolamine utilization microcompartment protein EutK	1
BHFGHA_06125	ethanolamine utilization microcompartment protein EutL	1
BHFGHA_06130	ethanolamine ammonia-lyase subunit beta	1
BHFGHA_06135	ethanolamine ammonia-lyase subunit alpha	1
BHFGHA_06140	ethanolamine ammonia-lyase reactivating factor EutA	1
BHFGHA_06145	ethanolamine utilization protein EutH	1
BHFGHA_06170	ethanolamine utilization ethanol dehydrogenase EutG	1
BHFGHA_06175	ethanolamine utilization protein EutJ	1
BHFGHA_06180	Acetaldehyde dehydrogenase (acetylating) EutE	1
BHFGHA_06185	ethanolamine utilization microcompartment protein EutN	1
BHFGHA_06190	ethanolamine utilization microcompartment protein EutM	1
BHFGHA_06195	phosphate acetyltransferase	1
BHFGHA_06200	ethanolamine utilization cob(I)yrinic acid a,c-diamide adenosyltransferase EutT	1
BHFGHA_06205	ethanolamine utilization acetate kinase EutQ	1
BHFGHA_06210	ethanolamine utilization acetate kinase EutP	1
BHFGHA_06215	Bacterial microcompartment shell protein EutS	1
BHFGHA_06220	NADP-dependent oxaloacetate-decarboxylating malate dehydrogenase	1
BHFGHA_06225	transaldolase	1
BHFGHA_06230	transketolase	1
BHFGHA_06235	Uncharacterized protein YpfG	1
BHFGHA_06240	GDP-mannose pyrophosphatase NudK	1
BHFGHA_06245	formate-dependent uric acid utilization protein AegA	1
BHFGHA_06250	nitrate/nitrite two-component system sensor histidine kinase NarQ	1
BHFGHA_06255	multidrug efflux RND transporter permease AcrD	1
BHFGHA_06260	protein YpfM	1
BHFGHA_06265	ArsC family reductase	1
BHFGHA_06270	succinyl-diaminopimelate desuccinylase	1
BHFGHA_06275	UPF0370 protein YpfN	1
BHFGHA_06280	esterase	1
BHFGHA_06285	tRNA cytosine(34) acetyltransferase TmcA	1
BHFGHA_06290	Uncharacterized protein YpfJ	1
BHFGHA_06295	phosphoribosylaminoimidazolesuccinocarboxamide synthase	1
BHFGHA_06300	hypothetical protein	1
BHFGHA_06305	outer membrane protein assembly factor BamC	1
BHFGHA_06310	4-hydroxy-tetrahydrodipicolinate synthase	1
BHFGHA_06315	glycine cleavage system transcriptional repressor	1
BHFGHA_06320	thioredoxin-dependent thiol peroxidase	1
BHFGHA_06325	Putative permease PerM	1
BHFGHA_06330	beta-barrel assembly-enhancing protease	1
BHFGHA_06335	arsenate reductase (glutaredoxin)	1
BHFGHA_06340	DnaA regulatory inactivator Hda	1
BHFGHA_06345	uracil permease	1
BHFGHA_06350	uracil phosphoribosyltransferase	1
BHFGHA_06355	Phosphoribosylformylglycinamidine cyclo-ligase	1
BHFGHA_06360	phosphoribosylglycinamide formyltransferase	1
BHFGHA_06365	polyphosphate kinase 1	1
BHFGHA_06370	exopolyphosphatase	1
BHFGHA_06375	cyclic-guanylate-specific phosphodiesterase PdeF	1
BHFGHA_06380	Transposase	1
BHFGHA_06385	Uncharacterized protein YfgG	1
BHFGHA_06390	Uncharacterized lipoprotein YfgH	1
BHFGHA_06395	Uncharacterized protein YfgI	1
BHFGHA_06400	glutamine-hydrolyzing GMP synthase	1
BHFGHA_06405	IMP dehydrogenase	1
BHFGHA_06410	exodeoxyribonuclease VII large subunit	1
BHFGHA_06415	RatA-like protein	1
BHFGHA_06420	Outer membrane protein	1
BHFGHA_06425	intimin-like inverse autotransporter SinH	1
BHFGHA_06430	Zinc ribbon domain-containing protein	1
BHFGHA_06435	ribosome biogenesis GTPase Der	1
BHFGHA_06440	outer membrane protein assembly factor BamB	1
BHFGHA_06445	ancillary SecYEG translocon subunit YfgM	1
BHFGHA_06450	histidine--tRNA ligase	1
BHFGHA_06460	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase	1
BHFGHA_06465	cytoskeleton protein RodZ	1
BHFGHA_06470	bifunctional tRNA (adenosine(37)-C2)-methyltransferase TrmG/ribosomal RNA large subunit methyltransferase RlmN	1
BHFGHA_06475	nucleoside-diphosphate kinase	1
BHFGHA_06480	peptidoglycan glycosyltransferase PbpC	1
BHFGHA_06485	alpha2-macroglobulin	1
BHFGHA_06490	3-mercaptopyruvate sulfurtransferase	1
BHFGHA_06500	enhanced serine sensitivity protein SseB	1
BHFGHA_06505	aminopeptidase PepB	1
BHFGHA_06510	Fe-S cluster assembly protein IscX	1
BHFGHA_06515	ISC system 2Fe-2S type ferredoxin	1
BHFGHA_06520	Fe-S protein assembly chaperone HscA	1
BHFGHA_06525	co-chaperone HscB	1
BHFGHA_06530	iron-sulfur cluster assembly protein IscA	1
BHFGHA_06535	Iron-sulfur cluster assembly scaffold protein IscU	1
BHFGHA_06540	cysteine desulfurase	1
BHFGHA_06545	Fe-S cluster assembly transcriptional regulator IscR	1
BHFGHA_06550	tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ	1
BHFGHA_06555	inositol-1-monophosphatase	1
BHFGHA_06560	Uncharacterized protein YfhR	1
BHFGHA_06565	stationary phase inducible protein CsiE	1
BHFGHA_06570	3-phenylpropionate MFS transporter	1
BHFGHA_06575	Uncharacterized membrane protein YphA, DoxX/SURF4 family	1
BHFGHA_06580	Uncharacterized protein YphB	1
BHFGHA_06585	Uncharacterized zinc-type alcohol dehydrogenase-like protein YphC	1
BHFGHA_06590	putative ABC transporter permease protein YphD	1
BHFGHA_06595	heme ABC exporter ATP-binding protein CcmA	1
BHFGHA_06600	ABC transporter periplasmic-binding protein YphF	1
BHFGHA_06605	Uncharacterized protein YphG	1
BHFGHA_06610	Uncharacterized protein YphH	1
BHFGHA_06615	serine hydroxymethyltransferase	1
BHFGHA_06620	NO-inducible flavohemoprotein	1
BHFGHA_06625	nitrogen regulatory protein P-II	1
BHFGHA_06630	two-component system response regulator QseF/GlrR	1
BHFGHA_06635	two-component system QseEF-associated lipoprotein QseG	1
BHFGHA_06640	two component system sensor histidine kinase QseE/GlrK	1
BHFGHA_06655	phosphoribosylformylglycinamidine synthase	1
BHFGHA_06660	membrane-bound lytic murein transglycosylase MltF	1
BHFGHA_06665	tRNA adenosine(34) deaminase TadA	1
BHFGHA_06670	phosphatidylglycerophosphatase C	1
BHFGHA_06675	MurR/RpiR family transcriptional regulator	1
BHFGHA_06680	4Fe-4S dicluster ferredoxin YfhL	1
BHFGHA_06685	Small toxic protein ShoB	1
BHFGHA_06695	Holo-[acyl-carrier-protein] synthase	1
BHFGHA_06700	pyridoxine 5'-phosphate synthase	1
BHFGHA_06705	DNA repair protein RecO	1
BHFGHA_06710	GTPase Era	1
BHFGHA_06715	ribonuclease III	1
BHFGHA_06720	signal peptidase I	1
BHFGHA_06725	translation elongation factor 4	1
BHFGHA_06735	SoxR-reducing system protein RseC	1
BHFGHA_06740	sigma-E factor regulatory protein RseB	1
BHFGHA_06745	anti-sigma-E factor RseA	1
BHFGHA_06750	RNA polymerase sigma factor RpoE	1
BHFGHA_06755	L-aspartate oxidase	1
BHFGHA_06760	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase TrmN	1
BHFGHA_06765	ATP-dependent RNA helicase SrmB	1
BHFGHA_06770	Uncharacterized HTH-type transcriptional regulator YfiE	1
BHFGHA_06775	cysteine/O-acetylserine transporter	1
BHFGHA_06780	autonomous glycyl radical cofactor GrcA	1
BHFGHA_06785	uracil-DNA glycosylase	1
BHFGHA_06790	tRNA/rRNA methyltransferase	1
BHFGHA_06795	thioredoxin TrxC	1
BHFGHA_06800	tRNA-uridine aminocarboxypropyltransferase	1
BHFGHA_06805	protein lysine acetyltransferase	1
BHFGHA_06810	Protein PssL	1
BHFGHA_06815	CDP-diacylglycerol--serine O-phosphatidyltransferase	1
BHFGHA_06820	YfiM family lipoprotein	1
BHFGHA_06825	Alpha-ketoglutarate permease	1
BHFGHA_06830	Transposase	1
BHFGHA_06835	Transposase	1
BHFGHA_06840	Transposase IS110-like N-terminal domain-containing protein	1
BHFGHA_06845	IS3 family IS1397 transposase	1
BHFGHA_06850	IS3 family IS1397 transposase ORF A	1
BHFGHA_06855	Helix-turn-helix domain-containing protein	1
BHFGHA_06885	ATP-dependent chaperone ClpB	1
BHFGHA_06895	purine nucleoside phosphorylase YfiH	1
BHFGHA_06900	23S rRNA pseudouridine(1911/1915/1917) synthase RluD	1
BHFGHA_06905	outer membrane protein assembly factor BamD	1
BHFGHA_06910	Leader peptide	1
BHFGHA_06915	ribosome-associated translation inhibitor RaiA	1
BHFGHA_06920	Leader peptide of chorismate mutase-P-prephenate dehydratase	1
BHFGHA_06925	bifunctional chorismate mutase/prephenate dehydratase	1
BHFGHA_06930	bifunctional chorismate mutase/prephenate dehydrogenase	1
BHFGHA_06935	3-deoxy-7-phosphoheptulonate synthase AroF	1
BHFGHA_06940	DUF2799 domain-containing protein	1
BHFGHA_06945	Protein YfiR	1
BHFGHA_06950	diguanylate cyclase DgcN	1
BHFGHA_06955	OmpA family protein	1
BHFGHA_06960	50S ribosomal protein L19	1
BHFGHA_06965	tRNA (guanosine(37)-N1)-methyltransferase TrmD	1
BHFGHA_06970	ribosome maturation factor RimM	1
BHFGHA_06975	30S ribosomal protein S16	1
BHFGHA_06980	signal recognition particle protein	1
BHFGHA_06985	Inner membrane protein YpjD	1
BHFGHA_06990	UPF0053 inner membrane protein YfjD	1
BHFGHA_06995	nucleotide exchange factor GrpE	1
BHFGHA_07000	NAD(+) kinase	1
BHFGHA_07005	DNA repair protein RecN	1
BHFGHA_07010	outer membrane protein assembly factor BamE	1
BHFGHA_07015	RnfH family protein	1
BHFGHA_07020	type II toxin-antitoxin system toxin RatA	1
BHFGHA_07025	SsrA-binding protein SmpB	1
BHFGHA_07035	glutarate dioxygenase GlaH	1
BHFGHA_07040	L-2-hydroxyglutarate oxidase	1
BHFGHA_07045	NADP-dependent succinate-semialdehyde dehydrogenase	1
BHFGHA_07050	4-aminobutyrate--2-oxoglutarate transaminase	1
BHFGHA_07055	GABA permease	1
BHFGHA_07060	DNA-binding transcriptional regulator CsiR	1
BHFGHA_07065	potassium binding protein Kbp	1
BHFGHA_07070	UPF0057 membrane protein YqaE	1
BHFGHA_07075	DNA-binding transcriptional regulator, ArsR family	1
BHFGHA_07080	thiosulfate sulfurtransferase YgaP	1
BHFGHA_07085	DNA-binding protein StpA	1
BHFGHA_07090	L-alanine exporter AlaE	1
BHFGHA_07095	DUF2002 domain-containing protein	1
BHFGHA_07100	Uncharacterized protein YgaM	1
BHFGHA_07105	Aminotransferase class I/classII domain-containing protein	1
BHFGHA_07110	Alkylhydroperoxidase family enzyme, contains CxxC motif	1
BHFGHA_07115	glutaredoxin-like protein NrdH	1
BHFGHA_07120	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	1
BHFGHA_07125	class 1b ribonucleoside-diphosphate reductase subunit alpha	1
BHFGHA_07130	class 1b ribonucleoside-diphosphate reductase subunit beta	1
BHFGHA_07135	glycine betaine/L-proline ABC transporter ATP-binding protein ProV	1
BHFGHA_07140	glycine betaine/L-proline ABC transporter permease ProW	1
BHFGHA_07145	glycine betaine/L-proline ABC transporter substrate-binding protein ProX	1
BHFGHA_07155	Putative uncharacterized transporter YgaY	1
BHFGHA_07160	L-valine exporter subunit YgaZ	1
BHFGHA_07165	L-valine transporter subunit YgaH	1
BHFGHA_07170	multidrug efflux transporter EmrAB transcriptional repressor EmrR	1
BHFGHA_07175	multidrug efflux MFS transporter periplasmic adaptor subunit EmrA	1
BHFGHA_07180	multidrug efflux MFS transporter permease subunit EmrB	1
BHFGHA_07190	IS200/IS605-like element IS200C family transposase	1
BHFGHA_07195	S-ribosylhomocysteine lyase	1
BHFGHA_07205	glutamate--cysteine ligase	1
BHFGHA_07210	Inner membrane protein YqaA	1
BHFGHA_07215	fructose-1-phosphate/6-phosphogluconate phosphatase	1
BHFGHA_07245	Transposase	1
BHFGHA_07250	carbon storage regulator CsrA	1
BHFGHA_07255	alanine--tRNA ligase	1
BHFGHA_07260	recombination regulator RecX	1
BHFGHA_07265	recombinase RecA	1
BHFGHA_07270	nicotinamide-nucleotide amidase	1
BHFGHA_07275	lytic murein transglycosylase B	1
BHFGHA_07280	PTS glucitol/sorbitol transporter subunit IIC	1
BHFGHA_07285	PTS glucitol/sorbitol transporter subunit IIB	1
BHFGHA_07290	PTS glucitol/sorbitol transporter subunit IIA	1
BHFGHA_07295	sorbitol-6-phosphate dehydrogenase	1
BHFGHA_07300	transcriptional regulator GutM	1
BHFGHA_07305	glucitol operon DNA-binding transcriptional repressor SrlR	1
BHFGHA_07310	arabinose-5-phosphate isomerase GutQ	1
BHFGHA_07315	nitric oxide reductase transcriptional regulator NorR	1
BHFGHA_07320	anaerobic nitric oxide reductase flavorubredoxin	1
BHFGHA_07325	NADH:flavorubredoxin reductase NorW	1
BHFGHA_07330	carbamoyltransferase HypF	1
BHFGHA_07335	electron transport protein HydN	1
BHFGHA_07340	DNA-binding transcriptional regulator AscG	1
BHFGHA_07345	PTS cellobiose/arbutin/salicin transporter subunit IIBC	1
BHFGHA_07350	6-phospho-beta-glucosidase AscB	1
BHFGHA_07355	Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain	1
BHFGHA_07360	Periplasmic or exported protein	1
BHFGHA_07365	hydrogenase maturation peptidase HycI	1
BHFGHA_07370	formate hydrogenlyase assembly protein HycH	1
BHFGHA_07375	formate hydrogenlyase subunit HycG	1
BHFGHA_07380	formate hydrogenlyase subunit HycF	1
BHFGHA_07385	formate hydrogenlyase subunit HycE	1
BHFGHA_07390	formate hydrogenlyase subunit HycD	1
BHFGHA_07395	formate hydrogenlyase subunit 3	1
BHFGHA_07400	formate hydrogenlyase subunit HycB	1
BHFGHA_07405	formate hydrogenlyase regulator HycA	1
BHFGHA_07410	hydrogenase maturation nickel metallochaperone HypA	1
BHFGHA_07415	hydrogenase nickel incorporation protein HypB	1
BHFGHA_07420	hydrogenase 3 maturation protein HypC	1
BHFGHA_07425	hydrogenase formation protein HypD	1
BHFGHA_07430	hydrogenase maturation carbamoyl dehydratase HypE	1
BHFGHA_07435	formate hydrogenlyase transcriptional activator FlhA	1
BHFGHA_07440	Molybdopterin-binding protein MopI	1
BHFGHA_07445	nitrous oxide-stimulated promoter family protein	1
BHFGHA_07450	DNA mismatch repair protein MutS	1
BHFGHA_07455	protein-serine/threonine phosphatase	1
BHFGHA_07460	DNA-binding transcriptional repressor YgbI	1
BHFGHA_07465	L-threonate dehydrogenase	1
BHFGHA_07470	3-oxo-tetronate kinase	1
BHFGHA_07475	aldolase	1
BHFGHA_07480	HPr family phosphocarrier protein	1
BHFGHA_07485	GntP family transporter	1
BHFGHA_07490	MBL fold metallo-hydrolase	1
BHFGHA_07495	Flavoprotein WrbA	1
BHFGHA_07500	RNA polymerase sigma factor RpoS	1
BHFGHA_07505	murein hydrolase activator NlpD	1
BHFGHA_07510	protein-L-isoaspartate O-methyltransferase	1
BHFGHA_07515	5'/3'-nucleotidase SurE	1
BHFGHA_07520	tRNA pseudouridine(13) synthase TruD	1
BHFGHA_07525	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	1
BHFGHA_07530	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	1
BHFGHA_07535	cell division protein FtsB	1
BHFGHA_07540	DUF3561 domain-containing protein	1
BHFGHA_07545	Adenylyl-sulfate kinase	1
BHFGHA_07550	sulfate adenylyltransferase subunit CysN	1
BHFGHA_07555	sulfate adenylyltransferase subunit CysD	1
BHFGHA_07560	alkaline phosphatase isozyme conversion aminopeptidase	1
BHFGHA_07565	Putative protein HokG	1
BHFGHA_07575	phosphoadenosine phosphosulfate reductase	1
BHFGHA_07580	assimilatory sulfite reductase (NADPH) hemoprotein subunit	1
BHFGHA_07585	NADPH-dependent assimilatory sulfite reductase flavoprotein subunit	1
BHFGHA_07590	6-carboxytetrahydropterin synthase QueD	1
BHFGHA_07595	putative electron transfer flavoprotein-quinone oxidoreductase YgcN	1
BHFGHA_07600	Ferredoxin-like protein FixX	1
BHFGHA_07605	Uncharacterized protein YgcP	1
BHFGHA_07610	Electron transfer flavoprotein, alpha subunit FixB	1
BHFGHA_07615	Putative electron transfer flavoprotein subunit YgcR	1
BHFGHA_07620	Inner membrane metabolite transport protein YgcS	1
BHFGHA_07625	Uncharacterized FAD-linked oxidoreductase YgcU	1
BHFGHA_07630	Uncharacterized oxidoreductase YgcW	1
BHFGHA_07635	Inner membrane protein YqcE	1
BHFGHA_07640	Sugar (pentulose or hexulose) kinase	1
BHFGHA_07645	aminoimidazole riboside kinase	1
BHFGHA_07650	Carbohydrate porin	1
BHFGHA_07655	PTS system sucrose-specific EIIBC component	1
BHFGHA_07660	Sucrose-6-phosphate hydrolase	1
BHFGHA_07665	LacI family DNA-binding transcriptional regulator	1
BHFGHA_07670	7-carboxy-7-deazaguanine synthase QueE	1
BHFGHA_07675	LemA family protein	1
BHFGHA_07680	TPM domain-containing protein	1
BHFGHA_07685	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	1
BHFGHA_07690	TPM domain-containing protein	1
BHFGHA_07695	phosphopyruvate hydratase	1
BHFGHA_07700	CTP synthase (glutamine hydrolyzing)	1
BHFGHA_07705	nucleoside triphosphate pyrophosphohydrolase	1
BHFGHA_07710	endoribonuclease MazF	1
BHFGHA_07715	type II toxin-antitoxin system antitoxin MazE	1
BHFGHA_07720	GTP diphosphokinase	1
BHFGHA_07725	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	1
BHFGHA_07730	two-component sensor histidine kinase BarA	1
BHFGHA_07735	glucarate dehydratase	1
BHFGHA_07740	Glucarate dehydratase-related protein	1
BHFGHA_07745	galactarate/glucarate/glycerate transporter GudP	1
BHFGHA_07750	flavodoxin	1
BHFGHA_07755	tRNA pseudouridine(65) synthase TruC	1
BHFGHA_07760	Uncharacterized protein YqcC	1
BHFGHA_07770	SecY-interacting protein	1
BHFGHA_07775	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	1
BHFGHA_07780	nucleotide 5'-monophosphate nucleosidase	1
BHFGHA_07785	HAAAP family serine/threonine permease SdaC	1
BHFGHA_07790	L-serine ammonia-lyase II	1
BHFGHA_07795	flap endonuclease Xni	1
BHFGHA_07800	lactaldehyde reductase	1
BHFGHA_07805	L-fuculose-phosphate aldolase	1
BHFGHA_07810	L-fucose:H+ symporter permease	1
BHFGHA_07815	L-fucose isomerase	1
BHFGHA_07820	L-fuculokinase	1
BHFGHA_07825	L-fucose mutarotase	1
BHFGHA_07830	L-fucose operon activator	1
BHFGHA_07835	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	1
BHFGHA_07840	UPF0382 inner membrane protein YgdD	1
BHFGHA_07845	glycine cleavage system transcriptional regulator GcvA	1
BHFGHA_07855	Uncharacterized lipoprotein YgdI	1
BHFGHA_07860	cysteine desulfurase CsdA	1
BHFGHA_07865	cysteine desulfurase sulfur acceptor subunit CsdE	1
BHFGHA_07870	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA	1
BHFGHA_07875	murein transglycosylase A	1
BHFGHA_07895	type VI secretion system contractile sheath small subunit	1
BHFGHA_07900	type VI secretion system contractile sheath large subunit	1
BHFGHA_07905	type VI secretion system baseplate subunit TssK	1
BHFGHA_07910	type VI secretion system protein TssL, short form	1
BHFGHA_07915	OmpA-like domain-containing protein	1
BHFGHA_07920	Type VI protein secretion system component Hcp (secreted cytotoxin)	1
BHFGHA_07925	type VI secretion system ATPase TssH	1
BHFGHA_07930	Type VI secretion system tip protein VgrG	1
BHFGHA_07935	Lysine-specific metallo-endopeptidase domain-containing protein	1
BHFGHA_07940	hypothetical protein	1
BHFGHA_07945	Type VI secretion system tip protein VgrG	1
BHFGHA_07950	Lysine-specific metallo-endopeptidase domain-containing protein	1
BHFGHA_07955	YARHG domain-containing protein	1
BHFGHA_07960	Type VI secretion protein	1
BHFGHA_07965	Type VI secretion protein VasK	1
BHFGHA_07970	IcmF-like protein	1
BHFGHA_07975	type VI secretion system protein TssA	1
BHFGHA_07980	PAAR domain-containing protein	1
BHFGHA_07985	Lipoprotein	1
BHFGHA_07990	type VI secretion system baseplate subunit TssF	1
BHFGHA_07995	type VI secretion system baseplate subunit TssG	1
BHFGHA_08000	type VI secretion system lipoprotein TssJ	1
BHFGHA_08005	type VI secretion system baseplate subunit TssE	1
BHFGHA_08010	DeoW	1
BHFGHA_08015	2-hydroxyacid dehydrogenase	1
BHFGHA_08020	KpsF/GutQ family sugar-phosphate isomerase	1
BHFGHA_08025	Aminotransferase	1
BHFGHA_08030	Bifunctional PTS system maltose and glucose-specific transporter subunits IICB	1
BHFGHA_08035	Antiterminator	1
BHFGHA_08040	N-acetylmuramoyl-L-alanine amidase AmiC	1
BHFGHA_08045	amino-acid N-acetyltransferase	1
BHFGHA_08050	exodeoxyribonuclease V subunit alpha	1
BHFGHA_08055	exodeoxyribonuclease V subunit beta	1
BHFGHA_08060	pitrilysin	1
BHFGHA_08065	exodeoxyribonuclease V subunit gamma	1
BHFGHA_08070	prepilin-type N-terminal cleavage/methylation domain-containing protein	1
BHFGHA_08075	DUF2509 domain-containing protein	1
BHFGHA_08080	prepilin peptidase-dependent protein	1
BHFGHA_08085	prepilin peptidase-dependent protein	1
BHFGHA_08090	thymidylate synthase	1
BHFGHA_08095	prolipoprotein diacylglyceryl transferase	1
BHFGHA_08100	phosphoenolpyruvate--protein phosphotransferase	1
BHFGHA_08105	RNA pyrophosphohydrolase	1
BHFGHA_08110	Protein YgdT	1
BHFGHA_08115	DNA mismatch repair endonuclease MutH	1
BHFGHA_08120	UPF0053 inner membrane protein YgdQ	1
BHFGHA_08125	lipoprotein YgdR	1
BHFGHA_08130	NADP(H)-dependent aldo-keto reductase	1
BHFGHA_08135	lysophospholipid transporter LplT	1
BHFGHA_08140	bifunctional acyl-ACP--phospholipid O-acyltransferase/long-chain-fatty-acid--ACP ligase	1
BHFGHA_08155	HTH-type transcriptional regulator GalR	1
BHFGHA_08160	diaminopimelate decarboxylase	1
BHFGHA_08165	DNA-binding transcriptional regulator LysR	1
BHFGHA_08170	amino acid racemase	1
BHFGHA_08175	arabinose-proton symporter AraE	1
BHFGHA_08180	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	1
BHFGHA_08185	5-dehydro-4-deoxy-D-glucuronate isomerase	1
BHFGHA_08190	putative acetyl-CoA acetyltransferase	1
BHFGHA_08195	Inner membrane transport protein YqeG	1
BHFGHA_08205	amidase activator ActS	1
BHFGHA_08210	xanthine dehydrogenase molybdenum-binding subunit XdhA	1
BHFGHA_08215	xanthine dehydrogenase FAD-binding subunit XdhB	1
BHFGHA_08220	xanthine dehydrogenase iron sulfur-binding subunit XdhC	1
BHFGHA_08225	Putative uric acid sigma-54-dependent transcriptional regulator UacR	1
BHFGHA_08230	knotted carbamoyltransferase YgeW	1
BHFGHA_08235	diaminopropionate ammonia-lyase	1
BHFGHA_08240	YgeY family selenium metabolism-linked hydrolase	1
BHFGHA_08245	D-phenylhydantoinase	1
BHFGHA_08250	carbamate kinase	1
BHFGHA_08255	selenium-dependent molybdenum cofactor biosynthesis protein YqeB	1
BHFGHA_08260	selenium cofactor biosynthesis protein YqeC	1
BHFGHA_08265	molybdenum cofactor cytidylyltransferase	1
BHFGHA_08270	putative selenate reductase subunit YgfK	1
BHFGHA_08275	putative aminohydrolase SsnA	1
BHFGHA_08280	Uncharacterized protein YgfM	1
BHFGHA_08285	putative hypoxanthine oxidase XdhD	1
BHFGHA_08290	xanthine/proton symporter XanQ	1
BHFGHA_08295	guanine deaminase	1
BHFGHA_08300	guanine/hypoxanthine transporter GhxQ	1
BHFGHA_08305	Putative electron transport protein YgfS	1
BHFGHA_08310	formate-dependent uric acid utilization protein YgfT	1
BHFGHA_08315	urate/proton symporter UacT	1
BHFGHA_08320	YqfG protein	1
